id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29542546,Garden Double Bed & Ensuite in Trendy St.Werburghs,79599223,Ralph,Ashley,51.46775,-2.57278,Private room,25,3,62,26/9/2021,1.61,2,141
29621715,Modern Holiday Home with Hot Tub,171178909,Ashley,Avonmouth & Lawrence Weston,51.50331,-2.65346,Entire home/apt,90,2,136,20/12/2021,3.54,1,121
29767400,"Bright, book-filled flat in artsy Stokes Croft",53674345,Lyndsey,Ashley,51.46502,-2.58728,Entire home/apt,100,2,23,19/12/2021,0.61,1,0
29878335,Double Room in Southville,27540782,Sophia,Southville,51.44453,-2.60589,Private room,38,3,5,11/7/2021,0.14,3,82
29905529,Quality double above a friendly funky pub.,32515363,Willow,St George West,51.45838,-2.55154,Private room,85,1,31,5/12/2021,0.82,3,352
29906542,Quality King above a funky friendly Bristol pub,32515363,Willow,St George West,51.46009,-2.5529,Hotel room,85,1,34,12/11/2021,0.91,3,357
29926239,Cosy Room in a Friendly House,49188646,Damian & Irisa,Filwood,51.4264,-2.59025,Private room,21,2,88,6/11/2021,2.33,1,25
29980982,Cosy Victorian home 10 min bus Bristol city centre,35116208,Helen,Lawrence Hill,51.46257,-2.56874,Private room,30,2,125,15/12/2021,3.31,4,293
30040039,Victorian townhouse in cosmopolitian Montpelier,219288156,Jaki & Tony,Ashley,51.46795,-2.58291,Private room,39,1,165,15/12/2021,4.4,1,139
30056098,Queens Apartments- Large Clifton Triangle Studio.,65192629,Hopewell,Central,51.4566,-2.60417,Entire home/apt,90,1,25,10/1/2020,0.78,143,0
30063807,Fishponds Lodge,32862540,Patrycja,Eastville,51.47345,-2.55125,Entire home/apt,471,1,22,14/11/2021,0.66,9,346
30082363,R1 LARGE ROOM WITH COMFY BEDS,32862540,Patrycja,Eastville,51.47336,-2.55128,Private room,37,1,56,22/10/2021,1.49,9,65
30083933,1 Bedroom App +parking,65192629,Hopewell,Ashley,51.46102,-2.59067,Entire home/apt,102,1,26,21/11/2020,0.69,143,0
30109319,Private room available in character BS9 home,6164180,Simon,Stoke Bishop,51.47337,-2.63594,Private room,40,2,34,25/7/2021,0.91,1,52
30124216,R2 LARGE ROOM WITH PRIVATE BATHROOM,32862540,Patrycja,Eastville,51.47326,-2.55039,Private room,46,1,54,1/11/2021,1.43,9,67
30124359,R3 QUIET LARGE ROOM,32862540,Patrycja,Eastville,51.47356,-2.54999,Private room,37,1,51,25/11/2021,1.36,9,67
